Time,Load_kW,PV_kW,Load_pred_kW,PV_pred_kW,GridAvailable,GridRiskLevel,DetectedFaultLabel,DetectedFaultType,F1_PV_Drop_Detected,F2_Load_Spike_Detected,F3_Grid_Outage_Detected,F4_Inverter_Detected,F5_BatteryCapacity_Detected,F6_Communication_Detected,SOC_percent,SOC_Target_percent,PV_to_Load_kW,PV_to_Battery_kW,BatteryPower_kW,Grid_to_Load_kW,Grid_Charge_kW,TotalGridImport_kW,LoadShedding_kW,UnservedLoad_kW,GridChargeAllowed,PVReturnLookAheadActive,GridChargeSuppressedByLookAhead,FaultAwareMode,EmergencyMode,SOC_Alert_Level,Fault_Alert_Type,EMS_Alert_Message,TransferToSlave_Sent_kW,TransferToSlave_Delivered_kW
2026-04-16 04:44:59,0.72,0,0.691522,0.0399934,0,1,1,F3_Grid_Outage,0,0,1,0,0,0,69.8624817251462,80,0,0,0.72,0,0,0,0,0,0,0,0,1,0,Normal,Grid Outage,Fault alert: Grid Outage,0,0
2026-04-16 04:50:00,0.72,0,0.7101685,0.03940785,0,1,1,F3_Grid_Outage,0,0,1,0,0,0,69.7249634502924,80,0,0,0.72,0,0,0,0,0,0,0,0,1,0,Normal,Grid Outage,Fault alert: Grid Outage,0,0
2026-04-16 04:55:00,0.73,0,0.7163141,0.03897476,0,1,1,F3_Grid_Outage,0,0,1,0,0,0,69.585535199399,80,0,0,0.73,0,0,0,0,0,0,0,0,1,0,Normal,Grid Outage,Fault alert: Grid Outage,0,0
2026-04-16 05:00:00,0.73,0,0.7222025,0.03865623,1,1,0,Normal,0,0,0,0,0,0,69.4461069485055,65,0,0,0.73,0,0,0,0,0,0,1,1,0,0,Normal,No Fault,Normal operation,0,0
2026-04-16 05:04:59,0.73,0,0.7302514,0.04536354,1,1,0,Normal,0,0,0,0,0,0,69.3066786976121,65,0,0,0.73,0,0,0,0,0,0,1,1,0,0,Normal,No Fault,Normal operation,0,0
2026-04-16 05:10:00,0.72,0.02,0.740698,0.04693865,1,1,0,Normal,0,0,0,0,0,0,69.1729803748376,65,0.02,0,0.7,0,0,0,0,0,0,1,1,0,0,Normal,No Fault,Normal operation,0,0
2026-04-16 05:15:00,0.72,0.02,0.7346656,0.04905223,1,1,0,Normal,0,0,0,0,0,0,69.039282052063,65,0.02,0,0.7,0,0,0,0,0,0,1,1,0,0,Normal,No Fault,Normal operation,0,0
2026-04-16 05:20:00,0.73,0.01,0.7415576,0.0473324,1,1,0,Normal,0,0,0,0,0,0,68.9017637772092,65,0.01,0,0.72,0,0,0,0,0,0,1,1,0,0,Normal,No Fault,Normal operation,0,0
2026-04-16 05:25:00,0.73,0.03,0.7529303,0.04482054,1,1,0,Normal,0,0,0,0,0,0,68.7680654544347,65,0.03,0,0.7,0,0,0,0,0,0,1,1,0,0,Normal,No Fault,Normal operation,0,0
2026-04-16 05:29:59,0.72,0.03,0.7513477,0.0456165,1,1,0,Normal,0,0,0,0,0,0,68.6362771076998,65,0.03,0,0.69,0,0,0,0,0,0,1,1,0,0,Normal,No Fault,Normal operation,0,0
2026-04-16 05:35:00,0.71,0.05,0.742852,0.04674184,1,1,0,Normal,0,0,0,0,0,0,68.5102186890838,65,0.05,0,0.66,0,0,0,0,0,0,1,1,0,0,Normal,No Fault,Normal operation,0,0
2026-04-16 05:40:00,0.71,0.04,0.7342843,0.04924154,1,1,0,Normal,0,0,0,0,0,0,68.3822502944282,65,0.04,0,0.67,0,0,0,0,0,0,1,1,0,0,Normal,No Fault,Normal operation,0,0
2026-04-16 05:45:00,0.72,0.07,0.7315481,0.05114531,1,1,0,Normal,0,0,0,0,0,0,68.2581018518518,65,0.07,0,0.65,0,0,0,0,0,0,1,1,0,0,Normal,No Fault,Normal operation,0,0
2026-04-16 05:49:59,0.71,0.09,0.7412245,0.05621445,1,1,0,Normal,0,0,0,0,0,0,68.1396833373944,65,0.09,0,0.62,0,0,0,0,0,0,1,1,0,0,Normal,No Fault,Normal operation,0,0
2026-04-16 05:55:00,0.71,0.13,0.7353747,0.1386595,1,1,0,Normal,0,0,0,0,0,0,68.0289047270955,65,0.13,0,0.58,0,0,0,0,0,0,1,1,0,0,Normal,No Fault,Normal operation,0,0
2026-04-16 06:00:00,0.7,0.23,0.7349355,0.1439729,0,1,1,F3_Grid_Outage,0,0,1,0,0,0,67.9391358532326,80,0.23,0,0.47,0,0,0,0,0,0,0,0,1,0,Normal,Grid Outage,Fault alert: Grid Outage,0,0
2026-04-16 06:05:00,0.74,0.31,0.7348488,0.1976614,0,1,1,F3_Grid_Outage,0,0,1,0,0,0,67.8570068835283,80,0.31,0,0.43,0,0,0,0,0,0,0,0,1,0,Normal,Grid Outage,Fault alert: Grid Outage,0,0
2026-04-16 06:10:00,0.74,0.35,0.7633113,0.2952396,0,1,1,F3_Grid_Outage,0,0,1,0,0,0,67.7825178179825,80,0.35,0,0.39,0,0,0,0,0,0,0,0,1,0,Normal,Grid Outage,Fault alert: Grid Outage,0,0
